附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
综合管廊(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
附属配套(巡查项目) ||| 巡查子项目 ||| 排水系统(系统)
综合管廊(巡查项目) ||| 巡查子项目 ||| 排水系统(系统)
附属设施(巡查项目) ||| 巡查子项目 ||| 排水系统(系统)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 吊装口(巡查项目)
附属建（构）筑物(巡查项目) ||| 巡查子项目 ||| 吊装口(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 吊装口(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 吊装口(巡查项目)
标牌(巡查项目) ||| 巡查内容 ||| 无缺损(内容)
标识(巡查项目) ||| 巡查内容 ||| 无缺损(内容)
构件(巡查项目) ||| 巡查内容 ||| 无缺损(内容)
结构(巡查项目) ||| 内容 ||| 无缺损(内容)
管道(巡查项目) ||| 巡查内容 ||| 无腐蚀(内容)
结构(巡查项目) ||| 内容 ||| 无腐蚀(内容)
结构(巡查项目) ||| 内容 ||| 无裂缝(内容)
电缆表皮(巡查项目) ||| 巡查内容 ||| 无破损(内容)
电缆本体(巡查项目) ||| 巡查内容 ||| 无破损(内容)
本体(巡查项目) ||| 巡查内容 ||| 无破损(内容)
各组件(巡查项目) ||| 巡查内容 ||| 无破损(内容)
水泥沿(巡查项目) ||| 巡查内容 ||| 无破损(内容)
钢格栅(巡查项目) ||| 巡查内容 ||| 无破损(内容)
止水带(巡查项目) ||| 内容 ||| 无破损(内容)
支吊架(巡查项目) ||| 巡查内容 ||| 无变形(内容)
机壳表面(巡查项目) ||| 巡查内容 ||| 无变形(内容)
固定支架(巡查项目) ||| 巡查内容 ||| 无变形(内容)
变形缝(巡查项目) ||| 内容 ||| 无变形(内容)
防水封堵(内容) ||| 需要 ||| 无渗漏水(内容)
防水措施(巡查项目) ||| 巡查内容 ||| 无渗漏水(内容)
排水设施(巡查项目) ||| 巡查内容 ||| 无渗漏水(内容)
变形缝(巡查项目) ||| 内容 ||| 无渗漏水(内容)
管线引入处(巡查项目) ||| 内容 ||| 无缺损(内容)
集水坑(巡查项目) ||| 巡查内容 ||| 无渗漏(内容)
排水沟渠(巡查项目) ||| 巡查内容 ||| 无渗漏(内容)
出线部位(内容) ||| 需要 ||| 无渗漏(内容)
预留孔(巡查项目) ||| 内容 ||| 无渗漏(内容)
支墩(巡查项目) ||| 内容 ||| 无裂缝(内容)
支墩(巡查项目) ||| 内容 ||| 无腐蚀(内容)
逃生口(巡查项目) ||| 巡查子项目 ||| 防盗设施(巡查项目)
吊装口(巡查项目) ||| 巡查子项目 ||| 防盗设施(巡查项目)
管道标识(巡查项目) ||| 巡查内容 ||| 完好(内容)
阀门(巡查项目) ||| 巡查内容 ||| 完好(内容)
管道清通设施(巡查项目) ||| 巡查内容 ||| 完好(内容)
管道弯头(巡查项目) ||| 巡查内容 ||| 完好(内容)
管道焊缝(巡查项目) ||| 巡查内容 ||| 完好(内容)
管道外防腐层(巡查项目) ||| 巡查内容 ||| 完好(内容)
控制功能(内容) ||| 需要 ||| 完好(内容)
主体结构(巡查项目) ||| 巡查内容 ||| 完好(内容)
消防指示标识(巡查项目) ||| 巡查内容 ||| 完好(内容)
路面设施(巡查项目) ||| 巡查内容 ||| 完好(内容)
防水封堵(内容) ||| 需要 ||| 完好(内容)
井内托架（板）(巡查项目) ||| 巡查内容 ||| 完好(内容)
电缆铭牌(巡查项目) ||| 巡查内容 ||| 完好(内容)
消防指示标志(巡查项目) ||| 巡查内容 ||| 完好(内容)
铭牌(巡查项目) ||| 巡查内容 ||| 完好(内容)
信号(巡查项目) ||| 巡查内容 ||| 完好(内容)
通道门(巡查项目) ||| 巡查内容 ||| 完好(内容)
机箱门(巡查项目) ||| 巡查内容 ||| 完好(内容)
应急照明系统(巡查项目) ||| 巡查内容 ||| 完好(内容)
转换功能(内容) ||| 需要 ||| 完好(内容)
支墩(巡查项目) ||| 巡查内容 ||| 完好(内容)
支吊架(巡查项目) ||| 巡查内容 ||| 完好(内容)
伸缩节(巡查项目) ||| 巡查内容 ||| 完好(内容)
泄水阀(巡查项目) ||| 巡查内容 ||| 完好(内容)
消火栓(巡查项目) ||| 巡查内容 ||| 完好(内容)
倒流防止器(巡查项目) ||| 巡查内容 ||| 完好(内容)
管道阀门(巡查项目) ||| 巡查内容 ||| 完好(内容)
附件防腐涂层(巡查项目) ||| 巡查内容 ||| 完好(内容)
支架(巡查项目) ||| 巡查内容 ||| 完好(内容)
格栅(巡查项目) ||| 巡查内容 ||| 完好(内容)
盖板(巡查项目) ||| 巡查内容 ||| 完好(内容)
井盖(巡查项目) ||| 巡查内容 ||| 完好(内容)
结构(巡查项目) ||| 巡查内容 ||| 完好(内容)
防火分隔(巡查项目) ||| 巡查内容 ||| 完好(内容)
防火带(巡查项目) ||| 巡查内容 ||| 完好(内容)
防火涂料(巡查项目) ||| 巡查内容 ||| 完好(内容)
防盗设施(巡查项目) ||| 内容 ||| 完好(内容)
防盗设施(巡查项目) ||| 内容 ||| 无异常进入特征(内容)
逃生口(巡查项目) ||| 巡查子项目 ||| 井口设施(巡查项目)
吊装口(巡查项目) ||| 巡查子项目 ||| 井口设施(巡查项目)
井口设施(巡查项目) ||| 内容 ||| 不影响交通(内容)
逃生口(巡查项目) ||| 内容 ||| 无变形(内容)
吊装口(巡查项目) ||| 内容 ||| 无变形(内容)
逃生口(巡查项目) ||| 内容 ||| 无缺损(内容)
吊装口(巡查项目) ||| 内容 ||| 无缺损(内容)
逃生口(巡查项目) ||| 内容 ||| 无污浊(内容)
吊装口(巡查项目) ||| 内容 ||| 无污浊(内容)
逃生口(巡查项目) ||| 内容 ||| 无覆盖异(内容)
吊装口(巡查项目) ||| 内容 ||| 无覆盖异(内容)
管线引入处(巡查项目) ||| 内容 ||| 无腐蚀(内容)
管线引入处(巡查项目) ||| 内容 ||| 无渗漏(内容)
预留孔(巡查项目) ||| 内容 ||| 封堵完好(内容)
支墩(巡查项目) ||| 内容 ||| 无变形(内容)
支墩(巡查项目) ||| 内容 ||| 无缺损(内容)
井口设施(巡查项目) ||| 内容 ||| 已打开井口有防护及警示措施(内容)
逃生口(巡查项目) ||| 内容 ||| 无堵塞(内容)
吊装口(巡查项目) ||| 内容 ||| 无堵塞(内容)
进（排）风口(巡查项目) ||| 巡查子项目 ||| 通道(巡查项目)
管件(巡查项目) ||| 巡查内容 ||| 通畅(内容)
管道(巡查项目) ||| 巡查内容 ||| 通畅(内容)
通道(巡查项目) ||| 内容 ||| 通畅(内容)
标识系统(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
内、外机(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
标牌(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
标识(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
管件(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
管道(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
井口设施结构(巡查项目) ||| 巡查内容 ||| 安装牢固(内容)
格栅等金属构配件(巡查项目) ||| 内容 ||| 安装牢固(内容)
格栅等金属构配件(巡查项目) ||| 内容 ||| 无受损(内容)
进（排）风口(巡查项目) ||| 内容 ||| 无堵塞(内容)
防护罩无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
灯具正常照明(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
齐全无损坏(内容) ||| 巡检方法 ||| 观察(巡检方法)
外壳接地完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
保持清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
绝缘良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
色标清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
压接良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
接头不发热变色(内容) ||| 巡检方法 ||| 观察(巡检方法)
电容器无发热膨胀(内容) ||| 巡检方法 ||| 观察(巡检方法)
电容补偿三相平(内容) ||| 巡检方法 ||| 观察(巡检方法)
